Redshift,Mass
7.5143,780000000
7.085,1850000000
7.07,185000000
7.021,2850000000
7.02,1640000000
7.01,549000000
6.92,52000000
6.905,1350000000
6.9018,863000000
6.9,246000000
6.88,453000000
6.87,570000000
6.85,405000000
6.834,2420000000
6.83,794000000
6.82,175000000
6.81,1820000000
6.8,65500000
6.7909,745000000
6.78,66700000
6.768,1440000000
6.74,1920000000
6.724,2010000000
6.72,698000000
6.72,100000000
6.72,515000000
6.71,1520000000
6.69,258000000
6.69,235000000
6.658,1180000000
6.654,705000000
6.6145,1220000000
6.648,655000000
6.63,1440000000
6.63,991000000
6.61,982000000
6.6,1220000000
6.61,1820000000
6.5881,2750000000
6.5864,2960000000
6.58,4170000000
6.58,1230000000
6.56,340000000
6.5412,3530000000
6.526,2460000000
6.511,429000000
6.508,731000000
6.5,188000000
6.49,233000000
6.476,1690000000
6.476,1420000000
6.45,387000000
6.44,780000000
6.4386,2580000000
6.4435,1150000000
6.4323,268000000
6.42,982000000
6.4189,4610000000
6.417,520000000
6.41,492000000
6.41,265000000
6.4,2630000000
6.4,17500000
6.4,197000000
6.4,113000000
6.39,115000000
6.38,216000000
6.377,1660000000
6.37,465000000
6.37,91200000
6.36,212000000
6.35,809000000
6.35,66100000
6.34,145000000
6.32,2140000000
6.3394,2000000000
6.33,398000000
6.32,1610000000
6.31,5490000000
6.308,2580000000
6.3,15800000
6.27,114000000
6.27,43200000
6.27,125000000
6.26,310000000
6.26,1720000000
6.253,1970000000
6.25,1520000000
6.25,1050000000
6.25,752000000
6.25,129000000
6.24,1430000000
6.2284,3250000000
6.21,1180000000
6.21,302000000
6.2,78000000
6.2,581000000
6.2,534000000
6.2,322000000
6.19,27800000
6.19,125000000
6.1831,1130000000
6.18,244000000
6.18,98200000
6.18,2490000000
6.18,160000000
6.18,52500000
6.17,832000000
6.161,313000000
6.16,63700000
6.16,97300000
6.16,45300000
6.1517,337000000
6.15,322000000
6.15,1690000000
6.15,172000000
6.15,370000000
6.15,2260000000
6.15,2140000000
6.1458,1260000000
6.14,229000000
6.14,3280000000
6.14,1700000000
6.14,1430000000
6.14,1470000000
6.133,2730000000
6.13,227000000
6.13,127000000
6.13,9550000
6.13,44900000
6.13,23300000
6.13,470000000
6.121,2960000000
6.12,1830000000
6.12,1130000000
6.12,759000000
6.12,51500000
6.11,3980000000
6.11,2440000000
6.1,752000000
6.1,150000000
6.1,115000000
6.1,92000000
6.09,66100000
6.09,2460000000
6.09,1600000000
6.087,685000000
6.08,25300000
6.08,164000000
6.08,2420000000
6.078,692000000
6.072,1590000000
6.07,1300000000
6.07,28300000
6.07,83900000
6.069,2400000000
6.065,1230000000
6.06,106000000
6.06,143000000
6.05,2440000000
6.05,1450000000
6.05,496000000
6.05,453000000
6.05,64300000
6.047,766000000
6.04,96400000
6.04,1850000000
6.04,912000000
6.04,124000000
6.04,62500000
6.04,47000000
6.0391,1250000000
6.03,1660000000
6.03,380000000
6.03,93800000
6.03,37300000
6.03,3630000000
6.03,1550000000
6.02,56000000
6.02,4200000000
6.02,2600000000
6.02,1330000000
6.016,2180000000
6.01,41700000
6.01,41700000
6.01,1520000000
6.01,143000000
6.01,46100000
6.01,40900000
6.01,38000000
6.01,130000000
6.006,346000000
6.0031,5440000000
6,2160000000
6,1870000000
6,1280000000
6,655000000
